Year,Assumption,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio
1975,Historical,0.63,0.92,0.66
1976,Historical,0.54,0.71,0.57
1977,Historical,0.47,0.48,0.47
1978,Historical,0.39,0.26,0.37
1979,Historical,0.3,0.3,0.3
1980,Historical,0.23,0.35,0.25
1981,Historical,0.18,0.21,0.18
1982,Historical,0.15,0.17,0.15
1983,Historical,0.14,0.15,0.14
1984,Historical,0.2,0.35,0.21
1985,Historical,0.24,0.27,0.24
1986,Historical,0.28,0.38,0.29
1987,Historical,0.3,0.44,0.31
1988,Historical,0.41,0.38,0.41
1989,Historical,0.59,0.38,0.57
1990,Historical,0.78,0.4,0.75
1991,Historical,0.87,0.39,0.82
1992,Historical,1.03,0.4,0.96
1993,Historical,1.17,0.35,1.07
1994,Historical,1.3,0.23,1.17
1995,Historical,1.39,0.55,1.28
1996,Historical,1.49,0.83,1.4
1997,Historical,1.6,1.13,1.54
1998,Historical,1.77,1.33,1.71
1999,Historical,2.01,1.52,1.94
2000,Historical,2.23,1.71,2.16
2001,Historical,2.47,1.93,2.39
2002,Historical,2.72,2.08,2.63
2003,Historical,3,2.19,2.88
2004,Historical,3.22,2.18,3.05
2005,Historical,3.4,2.12,3.18
2006,Historical,3.61,2.07,3.35
2007,Historical,3.72,2.06,3.45
2008,Historical,3.92,1.97,3.58
2009,Historical,3.9,1.78,3.53
2010,Historical,4,1.59,3.57
2011,Historical,4.02,1.36,3.54
2012,Historical,3.91,1.1,3.41
2013,Historical,3.84,0.86,3.32
2014,Historical,3.74,0.62,3.22
2015,Historical,3.64,0.41,3.11
2016,Historical,3.58,0.22,3.05
2017,Historical,3.47,0.32,2.99
2018,Historical,3.3,0.49,2.89
2019,Historical,3.07,0.66,2.73
2020,Historical,2.92,0.64,2.62
2021,Historical,2.81,0.68,2.54
2022,Historical,2.51,0.68,2.29
2023,Historical,2.19,0.76,2.03
2024,Historical,1.99,0.93,1.88
2025,Low-cost,1.76,1.1,1.7
2026,Low-cost,1.54,1.24,1.51
2027,Low-cost,1.36,1.45,1.37
2028,Low-cost,1.18,1.74,1.23
2029,Low-cost,1.01,2.12,1.11
2030,Low-cost,0.86,2.58,1.01
2031,Low-cost,0.71,3.09,0.91
2032,Low-cost,0.57,3.65,0.82
2033,Low-cost,0.44,4.24,0.75
2034,Low-cost,0.31,4.86,0.68
2035,Low-cost,0.2,5.48,0.62
2036,Low-cost,0.09,6.12,0.57
2037,Low-cost,,6.77,0.52
2038,Low-cost,,7.41,0.47
2039,Low-cost,,8.03,0.42
2040,Low-cost,,8.59,0.38
2041,Low-cost,,9.12,0.34
2042,Low-cost,,9.62,0.29
2043,Low-cost,,10.08,0.26
2044,Low-cost,,10.53,0.22
2045,Low-cost,,10.99,0.19
2046,Low-cost,,11.45,0.16
2047,Low-cost,,11.92,0.13
2048,Low-cost,,12.39,0.1
2049,Low-cost,,12.86,0.07
2050,Low-cost,,13.32,0.05
2051,Low-cost,,13.79,0.02
2052,Low-cost,,14.26,
2053,Low-cost,,14.73,
2054,Low-cost,,15.22,
2055,Low-cost,,15.73,
2056,Low-cost,,16.26,
2057,Low-cost,,16.84,
2058,Low-cost,,17.45,
2059,Low-cost,,18.07,
2060,Low-cost,,18.69,
2061,Low-cost,,19.31,
2062,Low-cost,,19.93,
2063,Low-cost,,20.54,
2064,Low-cost,,21.16,
2065,Low-cost,,21.78,
2066,Low-cost,,22.42,
2067,Low-cost,,23.07,
2068,Low-cost,,23.74,
2069,Low-cost,,24.41,
2070,Low-cost,,25.09,
2071,Low-cost,,25.79,
2072,Low-cost,,26.51,
2073,Low-cost,,27.27,
2074,Low-cost,,28.07,
2075,Low-cost,,28.89,
2076,Low-cost,,29.7,
2077,Low-cost,,30.49,
2078,Low-cost,,31.27,
2079,Low-cost,,32.03,
2080,Low-cost,,32.8,
2081,Low-cost,,33.58,
2082,Low-cost,,34.37,
2083,Low-cost,,35.15,
2084,Low-cost,,35.88,
2085,Low-cost,,36.57,
2086,Low-cost,,37.19,
2087,Low-cost,,37.74,
2088,Low-cost,,38.22,
2089,Low-cost,,38.66,
2090,Low-cost,,39.06,
2091,Low-cost,,39.43,
2092,Low-cost,,39.8,
2093,Low-cost,,40.2,
2094,Low-cost,,40.62,
2095,Low-cost,,41.06,
2096,Low-cost,,41.54,
2097,Low-cost,,42.04,
2098,Low-cost,,42.57,
2099,Low-cost,,43.13,
2100,Low-cost,,43.72,
2025,Intermediate,1.76,1.08,1.69
2026,Intermediate,1.53,1.16,1.49
2027,Intermediate,1.32,1.26,1.31
2028,Intermediate,1.1,1.4,1.13
2029,Intermediate,0.89,1.58,0.95
2030,Intermediate,0.67,1.8,0.78
2031,Intermediate,0.46,2.02,0.6
2032,Intermediate,0.25,2.26,0.43
2033,Intermediate,0.03,2.49,0.26
2034,Intermediate,,2.72,0.09
2035,Intermediate,,2.93,
2036,Intermediate,,3.14,
2037,Intermediate,,3.34,
2038,Intermediate,,3.53,
2039,Intermediate,,3.69,
2040,Intermediate,,3.83,
2041,Intermediate,,3.94,
2042,Intermediate,,4.04,
2043,Intermediate,,4.12,
2044,Intermediate,,4.18,
2045,Intermediate,,4.24,
2046,Intermediate,,4.29,
2047,Intermediate,,4.34,
2048,Intermediate,,4.38,
2049,Intermediate,,4.42,
2050,Intermediate,,4.45,
2051,Intermediate,,4.48,
2052,Intermediate,,4.51,
2053,Intermediate,,4.53,
2054,Intermediate,,4.56,
2055,Intermediate,,4.58,
2056,Intermediate,,4.61,
2057,Intermediate,,4.66,
2058,Intermediate,,4.71,
2059,Intermediate,,4.76,
2060,Intermediate,,4.82,
2061,Intermediate,,4.87,
2062,Intermediate,,4.92,
2063,Intermediate,,4.97,
2064,Intermediate,,5.03,
2065,Intermediate,,5.08,
2066,Intermediate,,5.13,
2067,Intermediate,,5.19,
2068,Intermediate,,5.25,
2069,Intermediate,,5.31,
2070,Intermediate,,5.38,
2071,Intermediate,,5.45,
2072,Intermediate,,5.52,
2073,Intermediate,,5.61,
2074,Intermediate,,5.7,
2075,Intermediate,,5.81,
2076,Intermediate,,5.91,
2077,Intermediate,,6.01,
2078,Intermediate,,6.12,
2079,Intermediate,,6.22,
2080,Intermediate,,6.33,
2081,Intermediate,,6.44,
2082,Intermediate,,6.56,
2083,Intermediate,,6.68,
2084,Intermediate,,6.8,
2085,Intermediate,,6.91,
2086,Intermediate,,7.02,
2087,Intermediate,,7.11,
2088,Intermediate,,7.18,
2089,Intermediate,,7.26,
2090,Intermediate,,7.32,
2091,Intermediate,,7.37,
2092,Intermediate,,7.42,
2093,Intermediate,,7.47,
2094,Intermediate,,7.52,
2095,Intermediate,,7.57,
2096,Intermediate,,7.62,
2097,Intermediate,,7.67,
2098,Intermediate,,7.72,
2099,Intermediate,,7.77,
2100,Intermediate,,7.82,
2025,High-cost,1.76,1.06,1.69
2026,High-cost,1.51,1.08,1.46
2027,High-cost,1.24,1.05,1.22
2028,High-cost,0.99,1.05,0.99
2029,High-cost,0.72,1.08,0.76
2030,High-cost,0.46,1.12,0.53
2031,High-cost,0.19,1.15,0.29
2032,High-cost,,1.16,0.04
2033,High-cost,,1.16,
2034,High-cost,,1.15,
2035,High-cost,,1.12,
2036,High-cost,,1.06,
2037,High-cost,,1,
2038,High-cost,,0.92,
2039,High-cost,,0.83,
2040,High-cost,,0.71,
2041,High-cost,,0.59,
2042,High-cost,,0.44,
2043,High-cost,,0.28,
2044,High-cost,,0.11,
2045,High-cost,,,
2046,High-cost,,,
2047,High-cost,,,
2048,High-cost,,,
2049,High-cost,,,
2050,High-cost,,,
2051,High-cost,,,
2052,High-cost,,,
2053,High-cost,,,
2054,High-cost,,,
2055,High-cost,,,
2056,High-cost,,,
2057,High-cost,,,
2058,High-cost,,,
2059,High-cost,,,
2060,High-cost,,,
2061,High-cost,,,
2062,High-cost,,,
2063,High-cost,,,
2064,High-cost,,,
2065,High-cost,,,
2066,High-cost,,,
2067,High-cost,,,
2068,High-cost,,,
2069,High-cost,,,
2070,High-cost,,,
2071,High-cost,,,
2072,High-cost,,,
2073,High-cost,,,
2074,High-cost,,,
2075,High-cost,,,
2076,High-cost,,,
2077,High-cost,,,
2078,High-cost,,,
2079,High-cost,,,
2080,High-cost,,,
2081,High-cost,,,
2082,High-cost,,,
2083,High-cost,,,
2084,High-cost,,,
2085,High-cost,,,
2086,High-cost,,,
2087,High-cost,,,
2088,High-cost,,,
2089,High-cost,,,
2090,High-cost,,,
2091,High-cost,,,
2092,High-cost,,,
2093,High-cost,,,
2094,High-cost,,,
2095,High-cost,,,
2096,High-cost,,,
2097,High-cost,,,
2098,High-cost,,,
2099,High-cost,,,
2100,High-cost,,,
