Quarter,Relative Buying Conditions
1990 Q1,135
1990 Q2,136
1990 Q3,126
1990 Q4,106
1991 Q1,118
1991 Q2,129
1991 Q3,131
1991 Q4,120
1992 Q1,125
1992 Q2,137
1992 Q3,129
1992 Q4,134
1993 Q1,134
1993 Q2,139
1993 Q3,138
1993 Q4,138
1994 Q1,150
1994 Q2,146
1994 Q3,144
1994 Q4,136
1995 Q1,135
1995 Q2,128
1995 Q3,135
1995 Q4,129
1996 Q1,128
1996 Q2,130
1996 Q3,137
1996 Q4,134
1997 Q1,136
1997 Q2,147
1997 Q3,139
1997 Q4,139
1998 Q1,147
1998 Q2,148
1998 Q3,144
1998 Q4,153
1999 Q1,154
1999 Q2,150
1999 Q3,149
1999 Q4,145
2000 Q1,144
2000 Q2,144
2000 Q3,145
2000 Q4,146
2001 Q1,139
2001 Q2,130
2001 Q3,134
2001 Q4,159
2002 Q1,154
2002 Q2,149
2002 Q3,155
2002 Q4,155
2003 Q1,144
2003 Q2,155
2003 Q3,154
2003 Q4,157
2004 Q1,155
2004 Q2,145
2004 Q3,144
2004 Q4,148
2005 Q1,140
2005 Q2,133
2005 Q3,141
2005 Q4,126
2006 Q1,136
2006 Q2,123
2006 Q3,127
2006 Q4,139
2007 Q1,136
2007 Q2,125
2007 Q3,133
2007 Q4,121
2008 Q1,117
2008 Q2,99
2008 Q3,104
2008 Q4,111
2009 Q1,125
2009 Q2,134
2009 Q3,132
2009 Q4,126
2010 Q1,128
2010 Q2,140
2010 Q3,129
2010 Q4,130
2011 Q1,123
2011 Q2,122
2011 Q3,112
2011 Q4,119
2012 Q1,123
2012 Q2,131
2012 Q3,132
2012 Q4,128
2013 Q1,128
2013 Q2,137
2013 Q3,133
2013 Q4,130
2014 Q1,137
2014 Q2,132
2014 Q3,134
2014 Q4,144
2015 Q1,144
2015 Q2,143
2015 Q3,140
2015 Q4,143
2016 Q1,148
2016 Q2,147
2016 Q3,141
2016 Q4,138
2017 Q1,146
2017 Q2,143
2017 Q3,137
2017 Q4,146
2018 Q1,139
2018 Q2,137
2018 Q3,130
2018 Q4,126
2019 Q1,128
2019 Q2,130
2019 Q3,128
2019 Q4,134
2020 Q1,130
2020 Q2,129
2020 Q3,125
2020 Q4,120
2021 Q1,113
2021 Q2,101
2021 Q3,71
2021 Q4,56
2022 Q1,47
2022 Q2,43
2022 Q3,44
2022 Q4,51
2023 Q1,66
2023 Q2,61
2023 Q3,63
2023 Q4,58
2024 Q1,79
2024 Q2,64
2024 Q3,59
2024 Q4,64
2025 Q1,58
2025 Q2,50
