observation_date,A133RC1Q027SBEA_PCH
1990-01-01,2.45979
1990-04-01,0.49580
1990-07-01,2.66316
1990-10-01,-13.44462
1991-01-01,-3.19517
1991-04-01,4.57787
1991-07-01,9.59202
1991-10-01,-5.83307
1992-01-01,-1.75247
1992-04-01,9.97820
1992-07-01,0.18039
1992-10-01,2.37638
1993-01-01,-0.42828
1993-04-01,2.73676
1993-07-01,-5.47961
1993-10-01,11.27072
1994-01-01,7.54716
1994-04-01,-2.18944
1994-07-01,1.54643
1994-10-01,4.41147
1995-01-01,-3.25886
1995-04-01,-5.47353
1995-07-01,-5.74879
1995-10-01,8.87460
1996-01-01,-14.11490
1996-04-01,23.55541
1996-07-01,-0.48979
1996-10-01,-10.07940
1997-01-01,4.24468
1997-04-01,-1.77267
1997-07-01,4.44646
1997-10-01,1.01946
1998-01-01,-2.40958
1998-04-01,-4.26718
1998-07-01,10.01396
1998-10-01,5.59685
1999-01-01,-7.62978
1999-04-01,2.42801
1999-07-01,-0.89033
1999-10-01,6.66537
2000-01-01,2.10958
2000-04-01,-4.72641
2000-07-01,-3.22234
2000-10-01,-4.06718
2001-01-01,-4.24031
2001-04-01,5.88980
2001-07-01,-2.02324
2001-10-01,3.39193
2002-01-01,5.46301
2002-04-01,-3.43728
2002-07-01,-0.39078
2002-10-01,-6.33517
2003-01-01,0.36961
2003-04-01,-4.05861
2003-07-01,-4.75418
2003-10-01,-3.26827
2004-01-01,2.71840
2004-04-01,4.39014
2004-07-01,-4.16051
2004-10-01,7.11781
2005-01-01,9.14132
2005-04-01,-1.32811
2005-07-01,0.70217
2005-10-01,3.60425
2006-01-01,7.64179
2006-04-01,-3.54964
2006-07-01,-6.38411
2006-10-01,0.90855
2007-01-01,3.87729
2007-04-01,-1.62055
2007-07-01,-1.86459
2007-10-01,2.06199
2008-01-01,-2.39213
2008-04-01,-0.50303
2008-07-01,-2.44181
2008-10-01,-23.55044
2009-01-01,-33.73218
2009-04-01,18.18439
2009-07-01,12.69169
2009-10-01,12.47518
2010-01-01,3.92418
2010-04-01,3.21169
2010-07-01,-5.06782
2010-10-01,-3.47781
2011-01-01,5.90009
2011-04-01,6.48796
2011-07-01,-5.44569
2011-10-01,11.73442
2012-01-01,16.04582
2012-04-01,-2.55633
2012-07-01,1.47362
2012-10-01,1.57424
2013-01-01,4.86868
2013-04-01,-4.71943
2013-07-01,-6.42700
2013-10-01,7.28214
2014-01-01,-0.26388
2014-04-01,-5.39119
2014-07-01,8.94756
2014-10-01,-1.60286
2015-01-01,-8.16240
2015-04-01,0.31381
2015-07-01,-3.92690
2015-10-01,-12.76497
2016-01-01,2.04996
2016-04-01,-2.32748
2016-07-01,3.13020
2016-10-01,-3.83682
2017-01-01,-13.14087
2017-04-01,4.35410
2017-07-01,-9.42158
2017-10-01,2.46154
2018-01-01,-15.10441
2018-04-01,9.82384
2018-07-01,-18.68785
2018-10-01,3.75964
2019-01-01,-7.22622
2019-04-01,3.98756
2019-07-01,-7.30613
2019-10-01,-15.06972
2020-01-01,-7.73040
2020-04-01,-36.28042
2020-07-01,93.57007
2020-10-01,-41.70305
2021-01-01,23.55122
2021-04-01,32.35538
2021-07-01,-3.53916
2021-10-01,-1.64004
2022-01-01,-32.50568
2022-04-01,2.36543
2022-07-01,-12.62699
2022-10-01,-11.59966
2023-01-01,17.20955
2023-04-01,4.09083
2023-07-01,-14.08037
2023-10-01,-10.77403
2024-01-01,-9.18334
2024-04-01,15.61500
2024-07-01,-5.57093
2024-10-01,26.16194
2025-01-01,-34.56220
2025-04-01,52.91366
